SKU;Date;Stock
03de0be7-061f-495f-b358-10edfa876017;2023-01-01 00:00:00;5304,6
17f59277-c7e2-47e1-a7bd-3c0963f52786;2023-01-01 00:00:00;2254
2cb2aaca-b269-46ac-863d-21a8269b4946;2023-01-01 00:00:00;3556
fe5764e2-f8a4-4b9f-8ac2-b7995a922bb1;2023-01-01 00:00:00;2192,4
8ca41424-c296-4566-8f1f-4681847a8b79;2023-01-01 00:00:00;8307,6
ca7f4185-e760-470a-be00-88647bf42b21;2023-01-01 00:00:00;840
2766494c-677a-48c3-9a19-93829a59a314;2023-01-01 00:00:00;17810,8
39faa472-8d56-498c-ae7c-5b8649ea723d;2023-01-01 00:00:00;18265,8
8d32f458-5ee5-4dd1-b3a1-6f6669cc5b45;2023-01-01 00:00:00;9597
8b7f8d10-f864-465b-8da5-1b57a9aa5e25;2023-01-01 00:00:00;9601,2
ae661473-4b88-486d-a91b-80dbb47ccdf3;2023-01-01 00:00:00;4550
d4412dc5-cd13-46a0-aab3-29231abe6849;2023-01-01 00:00:00;4648
f0c90f64-d799-496d-a0d0-7e61f46e9467;2023-01-01 00:00:00;5868,8
21838def-10ff-4b73-aca0-61b193ff5307;2023-01-01 00:00:00;1106
ebf1053d-c1d3-43fe-ab10-b6bbbc836965;2023-01-01 00:00:00;4016,6
34810f3d-ada3-450d-afb5-d3f4048bf707;2023-01-01 00:00:00;144999,4
858fb663-8a4b-4ac4-8be5-2608fa94324d;2023-01-01 00:00:00;10075,8
168cd6a6-b2db-418f-a732-46951103ba14;2023-01-01 00:00:00;3946,6
cd5c784e-fe50-4043-b6cf-c5aed0f98310;2023-01-01 00:00:00;9077,6
adc1cf47-ca1a-4c68-b8cb-e32b8ebe6f2e;2023-01-01 00:00:00;107650,2
ee8c7f4d-eaab-45ab-b045-2216e7f1602f;2023-01-01 00:00:00;2069,2
b0cfa288-c0a1-418b-8ff3-773cbef3aac1;2023-01-01 00:00:00;8148
5e052d5c-a8dd-4f31-a703-918f73fd8c82;2023-01-01 00:00:00;8482,6
bbb731e5-351b-4877-a300-eba9ef95351c;2023-01-01 00:00:00;53158
daa05e99-24c1-44f2-9e0a-1f9c4fa906b8;2023-01-01 00:00:00;54720,4
e7ef92db-97f1-47a3-aefb-165309c355d3;2023-01-01 00:00:00;13858,6
9b38f600-971a-4593-8af3-d84bbcc89872;2023-01-01 00:00:00;6829,2
5d3479db-b214-493c-8f2b-0daa7c75bf57;2023-01-01 00:00:00;8654,8
eaf5aeeb-0b8d-44b2-9638-823ea657046e;2023-01-01 00:00:00;1932
3f2d4e6e-4acd-4d37-a52d-0765f9023006;2023-01-01 00:00:00;2216,2
8bc31233-be4a-4089-b6dd-1017f72b9d5e;2023-01-01 00:00:00;2220,4
70bd1ba1-8ced-4ad5-9136-1f9a42033f09;2023-01-01 00:00:00;960,4
ca170c16-93ea-4468-ad5a-b2b39c1ae649;2023-01-01 00:00:00;1180,2
69b15dc5-f6be-463d-82be-0b40e1a11ef7;2023-01-01 00:00:00;4334,4
e965a2df-2326-45b9-a9b2-dcca5dd70acb;2023-01-01 00:00:00;4620
75671d2a-1bc3-420c-bc53-be0b7b7a459e;2023-01-01 00:00:00;7140
67b2cd49-5dc3-4df3-91d5-d2cf8062324c;2023-01-01 00:00:00;10360
6bbf8c2a-85cd-4535-bc8f-102dd89fc8f1;2023-01-01 00:00:00;3127,6
5ce81370-3405-4303-b733-d49b4bb6e65e;2023-01-01 00:00:00;4200
02c002e0-d8c8-45ca-ab25-6e8b8fbe7c29;2023-01-01 00:00:00;4620
aa11530f-8b3e-41f2-9819-662a70b47611;2023-01-01 00:00:00;4620
ecaf54cc-151a-41c6-8cec-b44419b2c290;2023-01-01 00:00:00;4620
edab920d-9da3-4504-8430-4c8591ff1b6e;2023-01-01 00:00:00;45469,2
5327aa34-ffff-4048-a894-89cded1ebbf2;2023-01-01 00:00:00;13204,8
13c2c0fa-a217-45a7-a185-ed6cc3ab793a;2023-01-01 00:00:00;2800
4e2fa7d4-ab35-4ad4-92f8-9a0667212ce3;2023-01-01 00:00:00;10670,8
e6c2a002-eb4d-493f-b27b-7e988c2f45e5;2023-01-01 00:00:00;2800
6eeb09de-d752-403f-8b45-0a1553df474c;2023-01-01 00:00:00;6300
95c5aa4d-fb16-42f0-b789-448af92d2860;2023-01-01 00:00:00;700
6d2eaf19-f243-4deb-b7d1-c8eab62e9df3;2023-01-01 00:00:00;2802,8
99cc8863-aa14-4deb-8da4-dc018c0a74f8;2023-01-01 00:00:00;10696
564dce90-62f3-4c68-83f2-3d20f802005d;2023-01-01 00:00:00;1260
2351c8c7-e3a5-47bd-8369-91b0a3e46846;2023-01-01 00:00:00;2135
034e4134-26a2-4b81-9063-0e0435259b9c;2023-01-01 00:00:00;1556,8
b4031522-30fe-4556-a835-31199379c685;2023-01-01 00:00:00;1932
824441f6-fc29-44ed-8e0b-86b80826628b;2023-01-01 00:00:00;72156
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-01-01 00:00:00;754230,4
5c2a76aa-c7f7-4aa7-b1bc-711f0430e59c;2023-01-01 00:00:00;3549
5becb78c-6802-4f49-a0a3-2091e5a582bc;2023-01-01 00:00:00;4620
9b437911-cbcd-47e5-91c2-e65b09a5a53a;2023-01-01 00:00:00;4620
163895de-30da-48d9-a851-0f5de25d5d05;2023-01-01 00:00:00;743,4
6cc94afb-28ca-4fc4-a280-43d94b3382c6;2023-01-01 00:00:00;12741,4
200f9ba4-d1db-4bf8-9ec1-27466a902351;2023-01-01 00:00:00;4221
434b07df-cc44-44c9-a593-745ce4e4def6;2023-01-01 00:00:00;8573,6
dcd82e2e-7882-4f69-bb9f-8da37e9310a8;2023-01-01 00:00:00;7532
fc571112-637d-46f8-9f38-eeb5246bfa29;2023-01-01 00:00:00;10479
fd078289-6031-4f18-be1f-6249a2450875;2023-01-01 00:00:00;5751,2
a36a070b-cac8-41d4-9d01-3f940fcee262;2023-01-01 00:00:00;11114,6
48a29b2b-5f5c-47df-a214-289c3b314556;2023-01-01 00:00:00;13860
1dbbab88-64d7-4743-8325-1c6a5a2db166;2023-01-01 00:00:00;5468,4
171e4625-539f-4c74-a787-4d8f17437d71;2023-01-01 00:00:00;45999,8
69ffb96f-543b-4485-b448-3f55335843b2;2023-01-01 00:00:00;43005,2
eb798e7f-bd15-4ad1-a044-69e5ffad569d;2023-01-01 00:00:00;8761,2
b798a82b-5312-4fe5-9361-4aecc19a1a5e;2023-01-01 00:00:00;2734,2
9f242247-5641-418e-acbb-670089e723f0;2023-01-01 00:00:00;129942,4
6fcb5917-3c7a-47e1-8cf6-09b73f0078bb;2023-01-01 00:00:00;170200,8
15f4a5dd-66b6-448a-8172-d5afdf10f6b9;2023-01-01 00:00:00;1267
db189e22-dd59-4a89-8519-eb8e2dd3ce87;2023-01-01 00:00:00;1274
995508e5-1baf-4cd2-8d24-28b7a7ad4849;2023-01-01 00:00:00;6899,2
b1d8f32b-b17d-41f3-b799-ce3429c97068;2023-01-01 00:00:00;3222,8
e65c3007-87ca-44c7-97c8-00e3b2975dd3;2023-01-01 00:00:00;5635
3193e2c1-bcbf-4b5f-b5eb-3a8d3a845c38;2023-01-01 00:00:00;3190,6
f305e826-aece-4398-905f-bd12cff7cfca;2023-01-01 00:00:00;2013,2
aeafd83a-15af-4e57-ac90-1ace00e2372f;2023-01-01 00:00:00;3978,8
18f1f4cc-9f9c-43c5-bd32-7542801b4949;2023-01-01 00:00:00;9662,8
932c9298-1cd8-41a3-9ebb-1a1ba5227ee2;2023-01-01 00:00:00;2524,2
221e2445-8208-4114-b34f-fa6df5de9fdd;2023-01-01 00:00:00;7911,4
07f34926-ac02-4a9d-bc1b-b5ecf52fc7d4;2023-01-01 00:00:00;3438,4
c0716c13-2c10-4b7c-b0fe-3b30cdc45194;2023-01-01 00:00:00;6406,4
401db1cd-52fb-460a-944b-fcae28f805b4;2023-01-01 00:00:00;2133,6
4e176f8c-61d3-4b11-a5cf-da0d91006df4;2023-01-01 00:00:00;2914,8
18483c9b-fe46-4f96-a530-829974cf6975;2023-01-01 00:00:00;2080,4
bf05d80a-107d-4df8-ad8d-bd186d102bc3;2023-01-01 00:00:00;1440,6
88c2901d-3716-4b20-8ff1-e42808f6204b;2023-01-01 00:00:00;2760,8
f18a16d3-c9bc-40c0-8ea2-76dec0f0b079;2023-01-01 00:00:00;42
e24e4d49-6907-4ae2-9078-afbd4614b575;2023-01-01 00:00:00;1400
3640fed5-cc5e-4dda-9877-ebcb61a8ba3b;2023-01-01 00:00:00;114118,2
4a5aac66-0d24-4422-9167-5f2681277730;2023-01-01 00:00:00;7812
7880e75d-5460-47d6-b7f0-2da66872b61d;2023-01-01 00:00:00;124803
14871f8b-1260-4c3f-9925-e98fc74ddac0;2023-01-01 00:00:00;152688,2
e66a0076-9479-485a-a997-9b5d31a4daa7;2023-01-01 00:00:00;4298
b4526702-7b5d-4ed5-b521-3e8589b65864;2023-01-01 00:00:00;134318,8
6da21466-265a-45d7-add9-d22a82d2615e;2023-01-01 00:00:00;5,6
9cc0adba-3101-4dcd-98fe-ddf3ed3dd569;2023-01-01 00:00:00;2,8
3ff29c25-53f2-44bc-8fd8-ddaaf7a0bdf7;2023-01-01 00:00:00;4197,2
789723cf-dea8-4e77-b1d0-6b2d3b457515;2023-01-01 00:00:00;169,4
cee88dc1-24fa-4f0e-b37c-f85763773a98;2023-01-01 00:00:00;6794,2
24bf854e-75e6-48b3-90cf-240fcb55f019;2023-01-01 00:00:00;586,6
498d73d9-03f9-4015-838b-87ff7e7c27eb;2023-01-01 00:00:00;2714,6
f06709c5-da8b-4f1f-b929-b16472c9496d;2023-01-01 00:00:00;802,2
b0603abe-7c1d-4134-bb64-e7e6179fe807;2023-01-01 00:00:00;1176
a8c8cb86-a2ef-4744-aa68-61b354a85c94;2023-01-01 00:00:00;13168,4
605398d1-d293-492f-8332-69a6f74f7116;2023-01-01 00:00:00;4116
44a71c27-78d4-46ff-b4bf-12536e7b1fc1;2023-01-01 00:00:00;2002
4be83dd5-5534-4c38-a96f-7725a3e1fb17;2023-01-01 00:00:00;1428
df5b92f3-cc39-4510-8f0a-70d6f613dcf1;2023-01-01 00:00:00;2469,6
3fc00b26-de12-422c-bf26-c856fe232ae3;2023-01-01 00:00:00;56620,2
e6659a69-ed21-48a7-bddb-292c337560a1;2023-01-01 00:00:00;414,4
b4a44bd1-e1fd-4b82-aa75-4d376515c5d4;2023-01-01 00:00:00;40903,8
5b02e8e6-6b75-40d5-bbd2-51a2b75a2c59;2023-01-01 00:00:00;2542,4
7480162b-4085-42c0-a9c9-ad00ccf28d2b;2023-01-01 00:00:00;114605,4
541e2554-6b33-4da7-aa8c-8fce1ff496c3;2023-01-01 00:00:00;2298,8
eae7bb30-77cd-424e-a3da-6a76d6ece2b5;2023-01-01 00:00:00;25,2
478ca7da-2d36-480d-8035-22ee91433f20;2023-01-01 00:00:00;2111,2
4bc2506e-6c51-4b0d-bd96-25721ff34c34;2023-01-01 00:00:00;2210,6
5e8db808-a8a2-4019-8bb4-0073936b7584;2023-01-01 00:00:00;66134,6
24549e1a-7ac9-47c8-bff9-7aa407061bcf;2023-01-01 00:00:00;33,6
9a191882-6e33-47fd-ab36-2f29d26463a6;2023-01-01 00:00:00;56359,8
52849d15-5676-4058-86dd-fa20f3d53fd7;2023-01-01 00:00:00;155958,6
91fdfc49-cf56-4c07-8506-87656680e1ba;2023-01-01 00:00:00;7
d2e0483d-ca6a-4db3-9bfd-ab82d6e0e53e;2023-01-01 00:00:00;57257,2
7956f5d8-52dc-4970-bc7e-65a18ae9728f;2023-01-01 00:00:00;12628
e61faad6-7c15-4d43-9c74-6f3915a4cba7;2023-01-01 00:00:00;70
00b82d84-8100-4031-ba60-5291c8618488;2023-01-01 00:00:00;422797,2
ab1e0f64-ebdf-45e9-8f67-7318e414bae9;2023-01-01 00:00:00;25821,6
14756391-566f-4101-8a4a-4b4c198a9630;2023-01-01 00:00:00;581
39edd523-c254-4cdf-9815-b5201693950f;2023-01-01 00:00:00;47691
b62afba6-0d1c-419a-8971-5dfb2935392a;2023-01-01 00:00:00;34290,2
92aceff4-26ad-4c5c-aed0-54065f99a01c;2023-01-01 00:00:00;81389
7d22f6b9-e30e-4198-9200-5b9e06ee06fd;2023-01-01 00:00:00;8184,4
c1d406ae-3422-4495-a08e-b924e8a5de7a;2023-01-01 00:00:00;13990,2
259d1350-876e-4160-81b3-1324f0a71b44;2023-01-01 00:00:00;8052,8
ad68f3a7-3d49-4251-8657-85d84194a35a;2023-01-01 00:00:00;90147,4
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-01-01 00:00:00;701268,4
25a64548-43ec-419f-92c6-5ef019341040;2023-01-01 00:00:00;25522
16bf7ae4-51c2-4fee-b60b-94614d34f294;2023-01-01 00:00:00;49
ae9213c5-1f99-4f02-a036-53db68b55873;2023-01-01 00:00:00;34088,6
1488624d-6a4e-4c2e-a862-a47af55d8ecf;2023-01-01 00:00:00;768,6
8c0ff002-20c1-4066-8977-cd709383e6ee;2023-01-01 00:00:00;386,4
0fe732f9-1bdb-4998-8878-b4209c191fb9;2023-01-01 00:00:00;2556,4
8425ea1b-9c46-4db9-b370-f0c44d3f2b5d;2023-01-01 00:00:00;1510,6
8b9b4e42-4720-4431-b050-f99edc285ec0;2023-01-01 00:00:00;2489,2
27f6d282-8d0d-481b-bcb4-0167312ca5fb;2023-01-01 00:00:00;4800,6
55356553-52de-4413-8c9b-f03d07339903;2023-01-01 00:00:00;30507,4
062dd291-c4ec-4bd2-aa6f-51431e3a9c79;2023-01-01 00:00:00;10480,4
ed2f52d3-70f8-43cd-b757-b2d4a2abcb78;2023-01-01 00:00:00;6946,8
eff8cc9a-1abb-48ae-bd91-d58a55ccf7f9;2023-01-01 00:00:00;30468,2
259ed61a-457b-4ee1-b288-976f0f48c25e;2023-01-01 00:00:00;8730,4
d42d06a7-8666-4d81-96bb-783d20621334;2023-01-01 00:00:00;21400,4
fb224ec3-69d2-4d2f-9702-2546842500d6;2023-01-01 00:00:00;126179,2
3f7c211a-a6b4-487b-af2e-6569d479e199;2023-01-01 00:00:00;234137,4
02a1e040-76ca-4655-9819-22814c703fb9;2023-01-01 00:00:00;1310,4
61262a04-454f-4226-875a-5b0bc9dd7b34;2023-01-01 00:00:00;1612,8
15736132-b705-42fc-aab6-27018679cdae;2023-01-01 00:00:00;5513,2
