SKU;Date;Stock
d1b4c36a-ffde-4038-9a93-6d890e9c616f;01.11.2023;14415,8
9e8bbf69-ad00-4a3d-aea7-cc7b041468b2;01.11.2023;14271,6
0797aac6-f873-4a0c-902b-d94ef84de52d;01.11.2023;14193,2
958c0e8f-32eb-4dcb-8a56-9e406ba32543;01.11.2023;14168
3057ac84-18ca-49af-8cf9-763c0241ecf2;01.11.2023;13827,8
b909c5f4-75b0-4b2f-8810-595d1880ad5f;01.11.2023;13794,2
3dc61157-d999-4a5b-a293-dd6745b60aac;01.11.2023;13715,8
293c1e18-2d63-41ee-8e56-062e807fe11d;01.11.2023;13654,2
6547564f-77b7-4bb2-958f-9f8b0f2c6431;01.11.2023;13349
259ed61a-457b-4ee1-b288-976f0f48c25e;01.11.2023;12926,2
259d1350-876e-4160-81b3-1324f0a71b44;01.11.2023;12913,6
d4412dc5-cd13-46a0-aab3-29231abe6849;01.11.2023;12843,6
b7666722-8098-48ad-9139-954330029434;01.11.2023;12478,2
062dd291-c4ec-4bd2-aa6f-51431e3a9c79;01.11.2023;11758,6
541e2554-6b33-4da7-aa8c-8fce1ff496c3;01.11.2023;11498,2
168cd6a6-b2db-418f-a732-46951103ba14;01.11.2023;10521
65c9e24b-fea0-4189-953f-7ac61e45897c;01.11.2023;10502,8
e965a2df-2326-45b9-a9b2-dcca5dd70acb;01.11.2023;10411,8
88c2901d-3716-4b20-8ff1-e42808f6204b;01.11.2023;10320,8
168fc4ed-d6f3-43f8-95d3-a91ec368fa70;01.11.2023;10269
15f4a5dd-66b6-448a-8172-d5afdf10f6b9;01.11.2023;10231,2
a36a070b-cac8-41d4-9d01-3f940fcee262;01.11.2023;10106,6
db189e22-dd59-4a89-8519-eb8e2dd3ce87;01.11.2023;9966,6
a403c8df-2a50-4b75-a569-6504ab2cf8b6;01.11.2023;9941,4
7303e0b7-d1b7-4c50-a25f-9412852ccb57;01.11.2023;9870
f4ea27f5-e9e6-4d03-9d43-4f24decc7c81;01.11.2023;9856
4c0a190a-6e90-4be1-a75b-2a136c777f35;01.11.2023;9800
b5c6a3ce-82a4-4ad5-ab6e-8c78592789dd;01.11.2023;9725,8
31aae9f0-0020-405f-88a1-e9a26826627c;01.11.2023;9665,6
ab2d1b88-fe0a-4cbf-808c-4a2084bba5b0;01.11.2023;9517,2
0932407c-91f3-4daa-8151-da4f3d7fe514;01.11.2023;9081,8
932c9298-1cd8-41a3-9ebb-1a1ba5227ee2;01.11.2023;9070,6
24549e1a-7ac9-47c8-bff9-7aa407061bcf;01.11.2023;8996,4
ed2f52d3-70f8-43cd-b757-b2d4a2abcb78;01.11.2023;8986,6
eb798e7f-bd15-4ad1-a044-69e5ffad569d;01.11.2023;8761,2
