SKU;COGS
fd483d5c-d1a6-4194-bc11-074866c7483f;1921,542
37e0e237-a228-462a-b68c-462f3d8b9a74;1919,166667
976fb19e-48c1-4f1d-a02c-9862fe77ce73;1908,34
feb8f7bf-1457-4b08-b801-c638f8b7f40e;1890
e122a6ee-a01d-4410-bd51-bed6e431924b;1845,779779
3d0c7d63-4f20-4bf2-bdad-a6d812af2a13;1845,2
13b76935-7842-4ad7-8f75-ee865864568c;1827
c8e68a68-c7a1-4718-9f4d-b36cfcb0d310;1804,981111
ad5d3bba-3dbf-41ce-833e-6ba47a3f1fcb;1795,452952
12698f94-6f80-4ff0-9ecf-81c07ae9781d;1782,594926
8a69f27c-87ee-45e1-8a8a-4981c50c216e;1764
660e51ad-e24a-4231-901b-2eac1807de00;1757
dda5b4a4-4bf4-4b73-9e57-506c2cfacb8c;1714,3
93d0123a-1f3c-4a18-8ed2-18b58ec0a30a;1683,99
79a6a4ff-37a8-4f13-b91b-40840419bdff;1672,65
3c87ecf4-040c-4371-b5cc-f69060f5783a;1605,8
964fef24-722b-4177-8f2e-eaedbc3278da;1528,041667
a7b6b152-b928-402e-83fc-cb7f4a648e2b;1492,4
7be534d1-3f51-417b-b697-df07836ebeba;1487,08
41bd3310-858e-45c8-b586-b1ee48349e18;1487,08
37590ae7-8c94-40fe-adcd-dc7a6c8a9677;1487,08
ded75b01-5b68-4330-97d8-56e818dfc221;1487,08
c0069691-6813-4c49-b1bb-563671135ae4;1477
adf7d953-6ba0-4503-a5ef-6045c55e0fd5;1461,012
daf7ff1f-7173-42f0-bb96-08519e283235;1461,012
3a44e64c-80c7-4ca0-8b17-382c66a2c8ec;1449
db1d7702-4c11-4493-bea0-765aea974307;1417,5
910143bd-0b22-4c91-a7d4-1c754b647856;1357,958
89043c15-2c01-4f30-951c-3686c0b7235c;1338,94117
9527318d-777b-46cb-965b-6e6bf84b89e4;1324,4
dc22431b-eebf-4011-a999-0deb7981f4eb;1298,178
e31070e9-af04-4b17-86b2-e53c29ccb8ea;1298,178
ac5d41df-fcab-427a-87f3-346cd67f5b8a;1298,178
e3898b76-f571-42a2-9607-a61c38d734af;1298,178
d1945311-ae90-4dfb-a142-cf107054c926;1291,5
cf44cb8a-ede7-407a-a725-c237702d18ea;1288
9bbeb194-7e62-4263-baf8-77fd2f506599;1274,182
1d468be7-26bd-4f22-bac3-95db41380f54;1272,6
4facce96-ba5c-47bd-8ec2-6a3753aceb37;1272,6
852245b5-2779-464c-9dc1-a390e968890c;1257,76917
6a157d79-5321-4cd5-8c32-f239ddbab973;1236,9
0db1829e-e61c-45cc-90d9-e9915d66bdd6;1234,1
