SKU;Date;Stock
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-11;11951553,6
3e64781a-32a6-4614-b8a8-938ca3464a28;2024-04;11938823,4
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-05;11922758,4
3e64781a-32a6-4614-b8a8-938ca3464a28;2024-06;9991921,8
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-10;9956115,4
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2023-10;8254344
3e64781a-32a6-4614-b8a8-938ca3464a28;2024-03;7975658,6
0bffeb60-50b3-44b3-aec4-c8d5b553cfc4;2023-04;6844821,2
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2024-03;4322603,6
33f6c7fc-9976-4530-ae64-2e213a4b80cb;2023-08;3993959,2
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-06;3985578,8
1793358e-760b-4232-8410-10e9f61d4b5b;2023-11;3946826,8
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-06;3776519,6
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-05;3750702,2
5f0f394f-0cb2-499b-9171-146ad2cabf93;2024-03;3750684
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-09;2750518,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-10;2750518,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-11;2706723,6
094c23b2-101d-431a-a8ef-cc70741e8ec3;2023-11;2548074,2
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2023-06;2316749,4
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2023-05;2309307
0bffeb60-50b3-44b3-aec4-c8d5b553cfc4;2024-03;2133576,2
1793358e-760b-4232-8410-10e9f61d4b5b;2024-06;1989880,2
1793358e-760b-4232-8410-10e9f61d4b5b;2023-06;1982472,8
962fc7d5-63b0-4d56-a853-9ffc078e2da2;2023-03;1922512,2
eec80c86-2c89-4419-91d3-508572925f65;2023-04;1804545,4
094c23b2-101d-431a-a8ef-cc70741e8ec3;2024-03;1714608
094c23b2-101d-431a-a8ef-cc70741e8ec3;2023-04;1708753,2
0bffeb60-50b3-44b3-aec4-c8d5b553cfc4;2024-06;1708704,2
eec80c86-2c89-4419-91d3-508572925f65;2023-05;1563018,8
eec80c86-2c89-4419-91d3-508572925f65;2024-06;1485526
eec80c86-2c89-4419-91d3-508572925f65;2024-05;1461349,4
eec80c86-2c89-4419-91d3-508572925f65;2023-03;1418523,4
0bffeb60-50b3-44b3-aec4-c8d5b553cfc4;2023-11;1301372,8
0bffeb60-50b3-44b3-aec4-c8d5b553cfc4;2023-02;1294825
9f229ead-1e87-4416-ac77-0beec8e6c2cc;2023-04;1290413,6
9f229ead-1e87-4416-ac77-0beec8e6c2cc;2024-03;1260068,6
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2024-02;1215048,8
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2024-02;1134784
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-01;1131950,4
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-02;1131950,4
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-03;1117824,4
eec80c86-2c89-4419-91d3-508572925f65;2023-06;1110638,2
eec80c86-2c89-4419-91d3-508572925f65;2023-07;1110638,2
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2023-04;1076824
9f229ead-1e87-4416-ac77-0beec8e6c2cc;2023-11;1071970,2
eec80c86-2c89-4419-91d3-508572925f65;2023-08;1049407,8
eec80c86-2c89-4419-91d3-508572925f65;2023-02;1028255,2
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-05;1027878,6
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-04;1010825,2
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-05;1010825,2
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-06;1010825,2
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-07;1010825,2
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2024-01;997605
1793358e-760b-4232-8410-10e9f61d4b5b;2024-03;986914,6
eec80c86-2c89-4419-91d3-508572925f65;2023-01;983130,4
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-04;981065,4
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2023-05;980011,2
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2024-03;951098,4
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2023-03;940284,8
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2024-03;925811,6
eec80c86-2c89-4419-91d3-508572925f65;2024-04;912837,8
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-02;905255,4
bf9911e4-fcf9-4b7c-a769-6344f9911448;2024-03;848688,4
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2023-06;836245,2
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-09;824826,8
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-04;799614,2
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-08;786280,6
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2024-04;774275,6
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2024-05;768579
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2023-02;768140,8
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2024-06;765282
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-05;764834
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-06;762298,6
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-03;757898,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-01;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-02;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-03;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-04;754230,4
