SKU;Date;Sales
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-12-28;11964897
3e64781a-32a6-4614-b8a8-938ca3464a28;2024-05-31;11936779,4
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-06-27;11920356
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-03-31;11907289,8
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-12-28;8978638,2
3e64781a-32a6-4614-b8a8-938ca3464a28;2024-02-27;7982002
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-12-02;7953037,4
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2023-11-10;7935265,8
0bffeb60-50b3-44b3-aec4-c8d5b553cfc4;2023-05-30;6844821,2
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-09-30;4010930
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2024-04-18;4003525,4
33f6c7fc-9976-4530-ae64-2e213a4b80cb;2024-02-27;3997235,2
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2023-12-28;3996083
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-09-30;3991251,6
33f6c7fc-9976-4530-ae64-2e213a4b80cb;2023-09-28;3990039,2
3e64781a-32a6-4614-b8a8-938ca3464a28;2024-04-04;3989872,6
3e64781a-32a6-4614-b8a8-938ca3464a28;2024-04-27;3985786
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-07-22;3985578,8
3e64781a-32a6-4614-b8a8-938ca3464a28;2023-11-10;3983950,6
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2024-05-31;3981090,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-07-22;3022289,2
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-03-31;2999810,8
5f0f394f-0cb2-499b-9171-146ad2cabf93;2024-02-27;2999143
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-06-27;2996471,8
5f0f394f-0cb2-499b-9171-146ad2cabf93;2024-04-28;2993457,146
5f0f394f-0cb2-499b-9171-146ad2cabf93;2024-05-31;2989490
094c23b2-101d-431a-a8ef-cc70741e8ec3;2023-12-19;2548074,2
31d62112-e42d-4be6-a205-4531f185167f;2024-04-28;2523715,6
9e50a17c-bdd7-4f90-bbb2-735e1af7edf2;2024-04-28;2519242,6
0bffeb60-50b3-44b3-aec4-c8d5b553cfc4;2024-04-27;2133576,2
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2023-07-22;1997671,2
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-11-10;1996288
e1c86af3-5e14-44e6-8d14-1cc0a276850b;2024-02-27;1988264,6
f4b57eb5-ebd6-49fb-ac39-9962f9ace466;2023-06-28;1987826,4
